,City_x,State,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Country Code,pop_thou,avg_5_yr_growth_thou,Percent Fertile,chrstpct,judpct,islmpct,budpct,zorpct,hinpct,sikhpct,shntpct,bahpct,taopct,jainpct,conpct,synpct,anmpct,nonpct,othrpct,sumpct,Country,City_y,AvgTemperature,pct_lt_sec,pct_some_sec,pct_some_ter
0,Abu Dhabi,None,169.56800000000004,117.26333333333332,86.40933333333334,62.61733333333334,62.433333333333316,5.294,27.153999999999996,51.220666666666666,ARE,,,76.62188121372075,,,,,,,,,,,,,,,,,,United Arab Emirates,Abu Dhabi,82.19249946039282,0.11499999999999999,0.355,0.175
1,Abu Dhabi,None,169.56800000000004,117.26333333333332,86.40933333333334,62.61733333333334,62.433333333333316,5.294,27.153999999999996,51.220666666666666,ARE,,,76.62188121372075,,,,,,,,,,,,,,,,,,United Arab Emirates,Dubai,82.97263112454141,0.11499999999999999,0.355,0.175
2,Adelaide,None,199.10176470588235,118.4635294117647,64.79647058823531,71.12352941176471,84.72352941176472,5.124117647058824,27.401176470588236,21.015294117647063,AUS,1265.0,46.0,47.94035927121619,1.46,0.002,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.0673,0.0,Australia,Brisbane,68.07249082667806,0.07500000000000001,0.44,0.33
3,Adelaide,None,199.10176470588235,118.4635294117647,64.79647058823531,71.12352941176471,84.72352941176472,5.124117647058824,27.401176470588236,21.015294117647063,AUS,1265.0,46.0,47.94035927121619,1.46,0.002,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.0673,0.0,Australia,Canberra,55.57968918627248,0.07500000000000001,0.44,0.33
4,Adelaide,None,199.10176470588235,118.4635294117647,64.79647058823531,71.12352941176471,84.72352941176472,5.124117647058824,27.401176470588236,21.015294117647063,AUS,1265.0,46.0,47.94035927121619,1.46,0.002,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.0673,0.0,Australia,Melbourne,64.71940427368841,0.07500000000000001,0.44,0.33
5,Adelaide,None,199.10176470588235,118.4635294117647,64.79647058823531,71.12352941176471,84.72352941176472,5.124117647058824,27.401176470588236,21.015294117647063,AUS,1265.0,46.0,47.94035927121619,1.46,0.002,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.0673,0.0,Australia,Perth,62.25062594431242,0.07500000000000001,0.44,0.33
6,Adelaide,None,199.10176470588235,118.4635294117647,64.79647058823531,71.12352941176471,84.72352941176472,5.124117647058824,27.401176470588236,21.015294117647063,AUS,1265.0,46.0,47.94035927121619,1.46,0.002,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542,0.0673,0.0,Australia,Sydney,57.54925534211086,0.07500000000000001,0.44,0.33
7,Ahmedabad,None,113.27214285714285,54.84142857142856,69.21571428571428,68.04642857142856,26.80071428571429,8.554285714285715,41.81571428571429,70.92785714285715,IND,7335.0,1071.0,53.94534356764936,0.0469,0.0,0.268,0.0154,0.0001,0.8045,0.0187,0.0,0.0014,0.0,0.0041,0.0,0.0001,0.0024,0.0031,0.0004,0.0,India,None,81.53172890135951,0.28500000000000003,0.26,0.095
8,Ahmedabad,None,113.27214285714285,54.84142857142856,69.21571428571428,68.04642857142856,26.80071428571429,8.554285714285715,41.81571428571429,70.92785714285715,IND,7335.0,1071.0,53.94534356764936,0.0469,0.0,0.268,0.0154,0.0001,0.8045,0.0187,0.0,0.0014,0.0,0.0041,0.0,0.0001,0.0024,0.0031,0.0004,0.0,India,None,78.87181092164924,0.28500000000000003,0.26,0.095
9,Ahmedabad,None,113.27214285714285,54.84142857142856,69.21571428571428,68.04642857142856,26.80071428571429,8.554285714285715,41.81571428571429,70.92785714285715,IND,7335.0,1071.0,53.94534356764936,0.0469,0.0,0.268,0.0154,0.0001,0.8045,0.0187,0.0,0.0014,0.0,0.0041,0.0,0.0001,0.0024,0.0031,0.0004,0.0,India,Chennai,82.84702136844402,0.28500000000000003,0.26,0.095
10,Ahmedabad,None,113.27214285714285,54.84142857142856,69.21571428571428,68.04642857142856,26.80071428571429,8.554285714285715,41.81571428571429,70.92785714285715,IND,7335.0,1071.0,53.94534356764936,0.0469,0.0,0.268,0.0154,0.0001,0.8045,0.0187,0.0,0.0014,0.0,0.0041,0.0,0.0001,0.0024,0.0031,0.0004,0.0,India,Delhi,75.79885590933651,0.28500000000000003,0.26,0.095
11,Albuquerque, NM,172.18428571428572,116.4742857142857,31.16142857142857,67.89285714285715,64.92571428571429,2.8542857142857145,27.110000000000003,23.46,USA,,,,1.4907999999999997,0.038099999999999995,0.018000000000000002,0.0218,0.0053,0.0057,0.0013,0.0005,0.0015,0.0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025,0.0,,,,0.035,0.505,0.33999999999999997
12,Almaty,None,90.72416666666668,42.469166666666666,41.09916666666667,54.72,34.263333333333335,12.137500000000001,32.410000000000004,77.37666666666667,KAZ,1503.0,103.0,50.65581578303932,,,,,,,,,,,,,,,,,,Kazakhstan,Almaty,49.31983810037769,0.02,0.6,0.265
